37,36,666
54,154,4158
45,140,3150
41,10,205
63,98,3087
46,188,4324
21,170,1785
54,178,4806
36,148,2664
86,62,2666
63,86,2709
97,60,2910
15,184,1380
70,114,3990
18,38,342
46,108,2484
42,46,966
31,8,124
73,20,730
51,60,1530
12,176,1056
17,78,663
55,86,2365
55,106,2915
98,160,7840
93,158,7347
50,8,200
34,162,2754
53,42,1113
74,106,3922
79,106,4187
98,2,98
30,158,2370
47,178,4183
50,132,3300
70,132,4620
90,40,1800
92,38,1748
37,6,111
52,2,52
72,36,1296
2,156,156
59,46,1357
6,74,222
8,8,32
93,104,4836
82,120,4920
50,108,2700
8,154,616
2,160,160
28,22,308
77,178,6853
34,50,850
68,180,6120
67,188,6298
37,20,370
32,158,2528
22,112,1232
37,108,1998
50,48,1200
10,182,910
60,142,4260
5,8,20
53,90,2385
98,102,4998
53,156,4134
20,128,1280
61,86,2623
75,20,750
20,38,380
59,138,4071
35,22,385
47,52,1222
82,20,820
80,116,4640
85,96,4080
42,128,2688
12,2,12
2,86,86
74,82,3034
60,82,2460
79,92,3634
91,160,7280
71,152,5396
43,26,559
20,68,680
92,144,6624
81,184,7452
14,132,924
80,18,720
86,56,2408
14,24,168
4,98,196
97,156,7566
33,34,561
41,130,2665
39,162,3159
68,162,5508
64,112,3584
81,160,6480
56,138,3864
63,40,1260
79,40,1580
79,70,2765
59,78,2301
29,136,1972
32,104,1664
32,190,3040
28,196,2744
68,186,6324
99,158,7821
15,138,1035
76,94,3572
52,142,3692
75,34,1275
99,100,4950
88,50,2200
4,104,208
88,16,704
65,24,780
65,194,6305
17,178,1513
15,150,1125
31,156,2418
3,104,156
91,136,6188
22,134,1474
63,112,3528
36,162,2916
71,110,3905
40,110,2200
95,56,2660
70,168,5880
40,26,520
16,54,432
28,106,1484
97,192,9312
69,72,2484
79,70,2765
27,60,810
4,84,168
60,150,4500
61,174,5307
76,84,3192
66,14,462
35,100,1750
6,160,480
74,192,7104
96,20,960
26,12,156
45,130,2925
81,182,7371
16,48,384
17,196,1666
42,194,4074
85,80,3400
29,62,899
57,4,114
4,30,60
46,126,2898
80,6,240
42,140,2940
35,156,2730
38,84,1596
9,104,468
19,140,1330
33,150,2475
62,40,1240
24,138,1656
46,98,2254
27,142,1917
78,80,3120
98,160,7840
97,142,6887
77,118,4543
34,162,2754
32,148,2368
96,146,7008
1,120,60
98,176,8624
22,108,1188
61,38,1159
21,110,1155
40,110,2200
35,118,2065
82,178,7298
80,96,3840
63,96,3024
31,176,2728
47,190,4465
1,28,14
12,198,1188
98,128,6272
50,8,200
30,150,2250
54,66,1782
87,90,3915
34,188,3196
94,46,2162
8,10,40
33,158,2607
31,68,1054
20,30,300
27,196,2646
18,22,198
51,188,4794
86,34,1462
62,56,1736
81,104,4212
30,156,2340
76,146,5548
48,162,3888
13,190,1235
38,76,1444
63,132,4158
85,138,5865
65,162,5265
23,142,1633
89,126,5607
1,176,88
78,184,7176
17,174,1479
56,200,5600
36,12,216
49,170,4165
44,196,4312
72,90,3240
13,90,585
5,154,385
69,70,2415
31,76,1178
39,50,975
92,110,5060
37,76,1406
50,178,4450
52,2,52
82,42,1722
38,110,2090
37,42,777
26,44,572
66,92,3036
13,84,546
89,40,1780
49,186,4557
85,102,4335
75,128,4800
33,12,198
5,72,180
31,76,1178
9,124,558
85,128,5440
23,120,1380
70,62,2170
98,118,5782
84,136,5712
24,142,1704
46,42,966
58,40,1160
25,86,1075
55,100,2750
90,66,2970
96,200,9600
95,40,1900
68,176,5984
76,74,2812
68,2,68
90,198,8910
53,62,1643
14,106,742
29,142,2059
5,68,170
85,118,5015
7,144,504
33,10,165
62,190,5890
61,104,3172
27,52,702
24,92,1104
8,186,744
59,110,3245
3,10,15
61,102,3111
65,2,65
15,172,1290
11,100,550
35,152,2660
57,68,1938
43,56,1204
18,154,1386
51,192,4896
58,6,174
56,86,2408
62,44,1364
65,132,4290
60,168,5040
37,152,2812
62,126,3906
6,178,534
80,46,1840
6,160,480
60,58,1740
97,176,8536
48,100,2400
71,18,639
15,176,1320
1,170,85
18,122,1098
65,62,2015
97,146,7081
20,70,700
75,50,1875
53,70,1855
97,70,3395
60,58,1740
82,118,4838
6,162,486
72,198,7128
93,48,2232
93,36,1674
50,144,3600
70,112,3920
74,78,2886
79,198,7821
9,82,369
84,50,2100
82,92,3772
35,138,2415
30,96,1440
38,178,3382
64,150,4800
100,182,9100
7,110,385
95,62,2945
89,52,2314
9,38,171
61,192,5856
41,106,2173
53,18,477
18,4,36
82,192,7872
15,198,1485
99,98,4851
64,168,5376
99,54,2673
53,182,4823
67,96,3216
12,100,600
13,96,624
20,54,540
10,50,250
47,130,3055
95,136,6460
28,112,1568
35,156,2730
38,86,1634
32,34,544
63,168,5292
40,20,400
27,112,1512
6,86,258
59,58,1711
30,134,2010
5,106,265
32,18,288
63,44,1386
69,120,4140
74,128,4736
97,24,1164
49,132,3234
19,60,570
51,162,4131
93,92,4278
27,162,2187
41,138,2829
89,62,2759
44,126,2772
92,182,8372
16,66,528
13,96,624
48,110,2640
39,30,585
53,70,1855
49,36,882
91,54,2457
1,38,19
83,8,332
49,34,833
32,34,544
41,36,738
99,36,1782
52,158,4108
96,162,7776
4,184,368
20,46,460
31,168,2604
47,148,3478
86,78,3354
84,42,1764
80,32,1280
91,34,1547
48,132,3168
63,10,315
51,94,2397
33,120,1980
19,34,323
11,8,44
45,176,3960
81,60,2430
90,80,3600
62,186,5766
70,108,3780
87,168,7308
34,194,3298
75,116,4350
37,112,2072
71,198,7029
67,12,402
53,84,2226
93,198,9207
82,124,5084
40,168,3360
54,10,270
19,82,779
90,44,1980
87,146,6351
54,132,3564
31,130,2015
84,192,8064
91,16,728
62,48,1488
80,8,320
85,48,2040
39,52,1014
46,4,92
69,112,3864
34,2,34
39,92,1794
48,186,4464
19,18,171
28,112,1568
1,192,96
86,160,6880
19,4,38
88,110,4840
40,166,3320
29,118,1711
51,150,3825
32,50,800
46,2,46
49,158,3871
71,68,2414
97,80,3880
93,120,5580
3,6,9
7,154,539
39,180,3510
48,158,3792
35,46,805
74,22,814
7,148,518
88,72,3168
61,52,1586
58,100,2900
58,124,3596
69,48,1656
49,2,49
94,178,8366
16,64,512
84,50,2100
64,152,4864
81,18,729
98,88,4312
68,84,2856
88,72,3168
31,74,1147
96,20,960
72,118,4248
35,74,1295
1,88,44
52,44,1144
56,200,5600
88,60,2640
63,124,3906
24,158,1896
52,150,3900
68,2,68
99,132,6534
80,14,560
80,88,3520
76,108,4104
66,38,1254
25,44,550
83,168,6972
5,186,465
53,192,5088
55,130,3575
81,168,6804
68,118,4012
75,110,4125
24,170,2040
28,58,812
78,156,6084
86,16,688
87,76,3306
1,196,98
19,160,1520
62,200,6200
33,150,2475
43,178,3827
24,134,1608
23,24,276
29,62,899
19,18,171
58,144,4176
12,198,1188
73,158,5767
14,118,826
67,42,1407
29,174,2523
33,44,726
55,14,385
82,136,5576
